ITEM CLASS,ITEM NUMBER,Display Title,Category,LENGTH,WIDTH,DEPTH,DESCRIPTION,PRINT,COLOR,STRENGTH,FLUTE,STYLE,LENGTH,WIDTH,DEPTH,WEIGHT/PALLET,WEIGHT/M ,BUNDLE QTY,PALLET QTY,UNIT OF MEASURE,COST
CB,11010072,Corrugated Box,Corrugated Boxes,10,10,7,Corrugated Box 10-1/2 X 10-1/2 X 7-1/2  ,Plain,Kraft,200#,C,RSC,,,,,686,25,750,Each,0.656
CB,11010082,Corrugated Box,Corrugated Boxes,10,10,8,Corrugated Box 10-1/2 X 10-1/2 X 8  ,Plain,Kraft,200#,C,RSC,,,,,727,25,750,Each,0.771
CB,11010083,Corrugated Box,Corrugated Boxes,10,10,8,Corrugated Box 10-1/2 X 10-1/2 X 8-1/2  ,Plain,Kraft,200#,C,RSC,,,,,734,25,750,Each,1.007
CB,11010103,Corrugated Box,Corrugated Boxes,10,10,10,Corrugated Box 10-1/2 X 10-1/2 X 10-1/2,Plain,Kraft,200#,C,RSC,,,,,794,25,750,Each,0.777
CB,11010271,Corrugated Box,Corrugated Boxes,10,10,27,Corrugated Box 10-1/2 X 10-1/2 X 27  ,Plain,Kraft,200#,C,RSC,,,,,1455,25,250,Each,1.623
CB,11106041,Corrugated Box,Corrugated Boxes,11,6,4,Corrugated Box 11 X 6 X 4  ,Plain,Kraft,200#,C,RSC,,,,,323,25,1250,Each,0.383
CB,11106051,Corrugated Box,Corrugated Boxes,11,6,5,Corrugated Box 11 X 6 X 5-1/2,Plain,Kraft,200#,C,RSC,,,,,367,25,1500,Each,0.408
CB,11107071,Corrugated Box,Corrugated Boxes,11,7,7,Corrugated Box 11 X 7 X 7  ,Plain,Kraft,200#,C,RSC,,,,,466,25,750,Each,0.497
CB,11108062,Corrugated Box,Corrugated Boxes,11,8,6,Corrugated Box 11 X 8 X 6  ,Plain,Kraft,200#,C,RSC,,,,,491,25,750,Each,0.43
CB,11108051,Corrugated Box,Corrugated Boxes,11,8,5,Corrugated Box 11 X 8-1/2 X 5  ,Plain,Kraft,200#,C,RSC,,,,,341,25,750,Each,0.496
CB,11109091,Corrugated Box,Corrugated Boxes,11,9,9,Corrugated Box 11 X 9 X 9  ,Plain,Kraft,200#,C,RSC,,,,,654,25,750,Each,0.629
CB,11111091,Corrugated Box,Corrugated Boxes,11,11,9,Corrugated Box 11 X 11 X 9  ,Plain,Kraft,200#,C,RSC,,,,,794,25,500,Each,0.684
CB,11111111,Corrugated Box,Corrugated Boxes,11,11,11,Corrugated Box 11 X 11 X 11  ,Plain,Kraft,200#,C,RSC,,,,,869,25,500,Each,0.682
CB,11105141,Corrugated Box,Corrugated Boxes,11,5,14,Corrugated Box 11-1/8 X 5-3/8 X 14-1/2,Plain,Kraft,ECT 32,C,RSC,,,,,,25,600,Each,0.29
CB,11105121,Corrugated Box,Corrugated Boxes,11,5,12,Corrugated Box 11-1/4 X 5-1/4 X 12,Plain,Kraft,ECT 32,C,RSC,,,,,,25,900,Each,0.235
CB,11108043,Corrugated Box,Corrugated Boxes,11,8,4,Corrugated Box 11-1/4 X 8-5/8 X 4-1/8       ,Plain,Kraft,200#,C,RSC,,,,,498,25,1000,Each,0.482
CB,11108031,Corrugated Box,Corrugated Boxes,11,8,3,Corrugated Box 11-1/4 X 8-3/4 X 3,Plain,Kraft,200#,C,RSC,,,,,465,25,1000,Each,0.656
CB,11108041,Corrugated Box,Corrugated Boxes,11,8,4,Corrugated Box 11-1/4 X 8-3/4 X 4,Plain,Kraft,200#,C,RSC,,,,,498,25,750,Each,0.415
CB,11108044,Corrugated Box,Corrugated Boxes,11,8,4,Corrugated Box 11-1/4 X 8-3/4 X 4-3/4  ,Plain,Kraft,200#,C,RSC,,,,,499,25,1000,Each,0.433
CB,11108061,Corrugated Box,Corrugated Boxes,11,8,6,Corrugated Box 11-1/4 X 8-3/4 X 6  ,Plain,Kraft,200#,C,RSC,,,,,571,25,750,Each,0.433
CB,11108081,Corrugated Box,Corrugated Boxes,11,8,8,Corrugated Box 11-1/4 X 8-3/4 X 8  ,Plain,Kraft,200#,C,RSC,,,,,645,25,750,Each,0.4
CB,11108101,Corrugated Box,Corrugated Boxes,11,8,10,Corrugated Box 11-1/4 X 8-3/4 X 10  ,Plain,Kraft,200#,C,RSC,,,,,720,25,750,Each,0.473
CB,11108121,Corrugated Box,Corrugated Boxes,11,8,12,"Corrugated Box 11-1/4 X 8-3/4 X 12   W / 6"", 8"", 10"" SCORES",Plain,Kraft,200#,C,RSC,,,,,794,25,750,Each,0.604
CB,11108122,Corrugated Box,Corrugated Boxes,11,8,12,Corrugated Box 11-1/4 x 8-3/4 x 12,Plain,Kraft,200#,C,RSC,,,,,760,25,750,Each,0.485
CB,11107061,Corrugated Box,Corrugated Boxes,11,7,6,Corrugated Box 11-5/8 X 7 X 6-5/16,Plain,Kraft,200#,C,RSC,,,,,466,25,750,Each,0.607
CB,11109051,Corrugated Box,Corrugated Boxes,11,9,5,Corrugated Box 11-5/8 X 9-1/8 X 5-1/4  ,Plain,Kraft,200#,C,RSC,,,,,554,25,750,Each,0.594
CB,11203031,Corrugated Box,Corrugated Boxes,12,3,3,Corrugated Box 12 X 3 X 3  ,Plain,Kraft,200#,C,RSC,,,,,181,25,3000,Each,0.35
CB,11204041,Corrugated Box,Corrugated Boxes,12,4,4,Corrugated Box 12 X 4 X 4  ,Plain,Kraft,200#,C,RSC,,,,,249,25,1875,Each,0.294
CB,11204043,Corrugated Box,Corrugated Boxes,12,4,4,Corrugated Box 12 X 4 X 4-1/2  ,Plain,Kraft,200#,C,RSC,,,,,258,25,1500,Each,0.438
