,,,,,,,,,,PALLET DIMENSIONS,,,,,,,
ITEM CLASS,ITEM NUMBER,,,LENGTH,WIDTH,DEPTH,DESCRIPTION,COLOR,STRENGTH,LENGTH,WIDTH,DEPTH,WEIGHT/M ,BUNDLE QTY,PALLET QTY,UNIT OF MEASURE,COST
CB,32703031,Indestructo Mailer Box,RETT,27,03,03,Indestructo Mailer Box 27-1/2 X 3-1/2 X 3-1/2 ,#3 White,200#,,,,557,50,1000,Each,1.221
CB,20302021,RETT Box,RETT,03,02,02,RETT Box 3 X 2 X 2,#3 White,200#,,,,50,100,2000,Each,0.382
CB,20402021,RETT Box,RETT,04,02,02,RETT Box 4 X 2 X 2,#3 White,200#,,,,58,50,1500,Each,0.572
CB,20403021,RETT Box,RETT,04,03,02,RETT Box 4 X 3 X 2,#3 White,200#,,,,75,50,2000,Each,0.464
CB,20403031,RETT Box,RETT,04,03,03,RETT Box 4 x 3 x 3,#3 White,200#,,,,102,50,2000,Each,0.420
CB,20404021,RETT Box,RETT,04,04,02,RETT Box 4 X 4 X 2,#3 White,200#,,,,100,50,1500,Each,0.245
CB,20404031,RETT Box,RETT,04,04,03,RETT Box 4 X 4 X 3,#3 White,200#,,,,140,50,1500,Each,0.334
CB,20503021,RETT Box,RETT,05,03,02,RETT Box 5 X 3 X 2,#3 White,200#,,,,87,50,1500,Each,0.462
CB,20503031,RETT Box,RETT,05,03,03,RETT Box 5 X 3 X 3,#3 White,200#,,,,120,50,1500,Each,0.319
CB,20504021,RETT Box,RETT,05,04,02,RETT Box 5 X 4 X 2,#3 White,200#,,,,106,50,3000,Each,0.473
CB,20504031,RETT Box,RETT,05,04,03,RETT Box 5 X 4 X 3,#3 White,200#,,,,140,50,1500,Each,0.439
CB,20505031,RETT Box,RETT,05,05,03,RETT Box 5 X 5 X 3,#3 White,200#,,,,150,50,1500,Each,0.352
CB,20504022,RETT Box,RETT,05,04,02,RETT Box 5-1/2 X 4 X 2 ,#3 White,200#,,,,115,50,3000,Each,0.506
CB,20602021,RETT Box,RETT,06,02,02,RETT Box 6 X 2 X 2,#3 White,200#,,,,90,50,1500,Each,0.462
CB,20603021,RETT Box,RETT,06,03,02,RETT Box 6 X 3 X 2,#3 White,200#,,,,182,50,1500,Each,0.366
CB,20604021,RETT Box,RETT,06,04,02,RETT Box 6 X 4 X 2,#3 White,200#,,,,130,50,1500,Each,0.476
CB,20604031,RETT Box,RETT,06,04,03,RETT Box 6 X 4 X 3,#3 White,200#,,,,160,50,2100,Each,0.369
CB,20604022,RETT Box,RETT,06,04,02,RETT Box 6 X 4-1/2 X 2-1/4,#3 White,200#,,,,110,50,2100,Each,0.425
CB,20606011,RETT Box,RETT,06,06,01,RETT Box 6 X 6 X 1,#3 White,200#,,,,120,50,4200,Each,0.295
CB,20606021,RETT Box,RETT,06,06,02,RETT Box 6 X 6 X 2,#3 White,200#,,,,180,50,1500,Each,0.491
CB,20606031,RETT Box,RETT,06,06,03,RETT Box 6 X 6 X 3,#3 White,200#,,,,208,50,1400,Each,0.462
CB,20606032,RETT Box,RETT,06,06,03,RETT Box 6 X 6 X 3-1/2,#3 White,200#,,,,215,50,1500,Each,0.921
CB,20604023,RETT Box,RETT,06,04,02,RETT Box 6-1/2 X 4-1/2 X 2,#3 White,200#,,,,136,50,2100,Each,0.551
CB,20702021,RETT Box,RETT,07,02,02,RETT Box 7 X 2 X 2,#3 White,200#,,,,85,50,1500,Each,0.411
CB,20703031,RETT Box,RETT,07,03,03,RETT Box 7 X 3 X 3,#3 White,200#,,,,140,50,3150,Each,0.559
